City,cases,current,well,death
ַבׁםַײ,59652,232,58271,1149
דßֹ ַבדßׁדֹ,34780,127,33764,889
ֹּֿ,34526,112,33248,1166
ַבדֿםהֹ ַבדהזֹׁ,22528,129,22256,143
ַבוÝזÝ,20061,129,19621,311
ַבֿדַד,19816,96,19537,183
ַב״ֶַÝ,11213,62,10903,248
ַבÞ״םÝ,8370,26,8309,35
ַבדָׁׂ,8274,89,8092,93
־דם׃ דװם״,7945,39,7843,63
ַב־ָׁ,7319,11,7283,25
ֶַֽב,6134,104,5912,118
ַבָּםב,5590,36,5544,10
ָׁםֹֿ,5523,50,5332,141
ֳָוַ,5249,24,5038,187
םהָÚ,4887,141,4743,3
ַבÙוַׁה,4438,32,4402,4
הַּׁה,4413,41,4310,62
ֽÝׁ ַבַָ״ה,4190,3,4082,105
Êָזß,3951,35,3834,82
ַַּׂה,3556,68,3293,195
זַֿם ַבֿזַ׃ׁ,2418,33,2362,23
Úהםֹׂ,2352,55,2285,12
ָםװ,2288,23,2231,34
ַב־ּׁ,2002,28,1954,20
ױÝזל,1683,8,1675,0
דַֽםב,1615,7,1543,65
ָםװֹ,1569,15,1510,44
ַבֿׁÚםֹ,1509,5,1503,1
ָÞםÞ,1485,7,1473,5
ÚׁÚׁ,1472,93,1307,72
ֳָז Úׁםװ,1471,30,1384,57
ֳֽֿ ׁÝםֹֿ,1353,12,1332,9
װׁזֹׁ,1283,14,1266,3
ױָםַ,1250,14,1161,75
ַׁ׃ Êהזֹׁ,1243,17,1226,0
ַבהÚםׁםֹ,1189,16,1165,8
ָבּׁװם,1185,23,1162,0
ָבב׃דׁ,1121,13,1103,5
ַבׁ׃,1097,4,1061,32
־בםױ,1038,16,1022,0
׃ָÊ ַבÚבַםֹ,1037,7,1030,0
ַבÞהÝ׀ֹ,1026,28,994,4
ױַד״ֹ,1019,15,972,32
ַבדּדÚֹ,1006,18,988,0
ַבד׀הָ,946,30,916,0
ַבֹּֽׁ,924,11,913,0
ַּׁב ַבדÚ,898,10,875,13
ַבּÝׁ,883,27,850,6
ַבהדַױ,877,5,863,9
ַב־Ýּם,848,12,832,4
Úםזה ַבּזֱַ,760,24,734,2
ֽז״ֹ ָהם Êדםד,732,13,716,3
ַבד־זַֹ,725,20,705,0
׃ַֹׁ Úָםֹֿ,705,3,700,2
׃ßַßַ,696,4,651,41
ַבÚםזה,679,19,640,20
ַבדַֽׂדםֹ,658,10,644,4
ַבבםֻ,655,14,640,1
ׁםַײ ַב־ֱַָׁ,654,26,628,0
Ùוַׁה ַבּהזָ,651,19,631,1
ַבÚםַָֿם,623,21,601,1
ַבָßםׁםֹ,613,17,596,0
ַבÚÞםÞ,588,14,574,0
ַבָװֶַׁ,579,7,572,0
ַבֶַָֿÚ,576,16,558,2
ÚÝםÝ,567,8,559,0
ַבֳ׃םַֽ,564,24,540,0
ַבַָֹֽ,557,8,486,63
Êֻבםֻ,554,3,551,0
ַבׂבÝם,538,11,524,3
ַבדַֹּֿׁ,524,6,500,18
ײׁדַ,497,23,473,1
דוֿ ַב׀וָ,491,17,474,0
ַבֿזַֿדם,489,11,478,0
Þׁםֹ ַבÚבםַ,488,20,468,0
ַָׁÞ,472,9,463,0
Þבזֹ,452,8,443,1
ַבדÙםבÝ,443,11,432,0
ׁÝַֽ,435,27,394,14
ֳֽֿ ַבד׃ַֹֽׁ,433,25,396,12
ֽׁםדבֱַ,425,2,416,7
ַבֿבד,424,22,402,0
Êַָבֹ,424,7,417,0
ׁÝֶַÚ ַבּדװ,408,5,403,0
דבםֹּ,405,12,393,0
Êָֹׁ,398,10,388,0
־םָׁ,378,14,364,0
ַב׃בםב,366,4,357,5
׃ַּׁ,353,5,348,0
זַֿם ָה וװָב,351,3,348,0
ַבדײֹ,350,3,346,1
ׁהםֹ,349,5,344,0
ַבÞזׂ,346,7,338,1
ָÞÚֱַ,338,2,335,1
ַבÚםױ,326,28,298,0
ַבßַדב,312,9,303,0
ַבÚבַ,301,14,287,0
ַב־ׁדֹ,298,20,278,0
ַבדהֿÞ,295,7,287,1
םֿדֹ,293,14,279,0
ַבÞזםÚםֹ,290,10,261,19
ַבÞׁםַÊ,290,7,272,11
ֳדבּ,287,9,277,1
ײַָ,280,4,276,0
ַָׁÛ,272,2,266,4
ַבֽהַßםֹ,269,11,258,0
ַב׃ֽה,266,3,263,0
ֻׁםַָה,265,8,257,0
װÞֱַׁ,251,14,233,4
ַבהָוַהםֹ,248,9,239,0
ַבÞׁל,247,3,244,0
ÝםÝַ,232,10,221,1
ַבׁזםײֹ,230,7,223,0
ָֿׁ ַבּהזָ,227,6,221,0
Êהזדֹ,218,3,215,0
ֳײד,217,10,207,0
ַב״זַב,215,12,200,3
ײׁםֹ,209,5,204,0
